id,skills
1,"python,data analysis,machine learning,sql,statistics,data visualization"
2,"javascript,react,html,css,node.js,git,responsive design"
3,"project management,agile,scrum,leadership,communication,risk management"
4,"marketing,social media,content creation,seo,analytics,email marketing"
5,"financial analysis,excel,accounting,risk assessment,forecasting,bloomberg terminal"
6,"java,spring framework,hibernate,restful apis,microservices,docker"
7,"ux design,user research,wireframing,prototyping,adobe xd,figma"
8,"cybersecurity,network security,penetration testing,cryptography,incident response"
9,"sales,negotiation,crm software,lead generation,client relationship management"
10,"mechanical engineering,autocad,solidworks,thermodynamics,fluid mechanics"
11,"sql,excel,data visualization,statistics,python,tableau"
12,"product development,market research,agile,user stories,roadmapping"
13,"aws,azure,cloud migration,containerization,serverless computing"
14,"biology,medical device design,clinical trials,matlab,biomechanics"
15,"environmental assessment,gis,data analysis,field work,research methods"
